"Lipid","Feature","SumOfAllFragmentsIntensities","Class","Adduct"
"1_AcCa(8:1)+H","9156",26243.6215,"AcCa","[M+H]+"
"1_AcCa(8:1)+H","9705",26243.6215,"AcCa","[M+H]+"
"1_AcCa(16:0)+H","702",1704488.63,"AcCa","[M+H]+"
"1_AcCa(18:2)+H","433",2435033.14,"AcCa","[M+H]+"
"1_AcCa(18:1)+H","638",1407690.606,"AcCa","[M+H]+"
"1_AcCa(18:0)+H","877",954590.815,"AcCa","[M+H]+"
"1_CE(16:0)+NH4","416",2558528.361,"CE","[M+NH4]+"
"1_CE(18:1)+NH4","111",14649078.15,"CE","[M+NH4]+"
"1_CE(18:2)+NH4","24",99123212.3,"CE","[M+NH4]+"
"1_CE(18:3)+NH4","218",6924063.85,"CE","[M+NH4]+"
"1_CE(20:3)+NH4","191",7888098.59,"CE","[M+NH4]+"
"1_CE(20:4)+NH4","52",54205524.6,"CE","[M+NH4]+"
"1_CE(20:5)+NH4","202",4719853.65,"CE","[M+NH4]+"
"1_CE(22:6)+NH4","224",6924759.84,"CE","[M+NH4]+"
"1_Cer(d16:0/24:1)+H","365",899507.8437,"Cer","[M+H]+"
"1_Cer(d16:1/22:0)+H","1448",228327.21,"Cer","[M+H]+"
"1_Cer(d16:1/24:0)+H","365",1393374.4037,"Cer","[M+H]+"
"1_Cer(d16:1/24:1)+H","1092",198370.8838,"Cer","[M+H]+"
"1_Cer(d16:1/25:0)+H","438",521062.351,"Cer","[M+H]+"
"1_Cer(d16:1/26:0)+H","148",3448645.75,"Cer","[M+H]+"
"1_Cer(d17:0/24:1)+H","438",590342.339,"Cer","[M+H]+"
"1_Cer(d17:1/23:0)+H","365",968547.9637,"Cer","[M+H]+"
"1_Cer(d17:1/24:0)+H","438",731304.589,"Cer","[M+H]+"
"1_Cer(d17:1/24:1)+H","1142",255079.389,"Cer","[M+H]+"
"1_Cer(d17:1/25:0)+H","148",3464738.799,"Cer","[M+H]+"
"1_Cer(d17:1/25:0)+H","1404",282552.1945,"Cer","[M+H]+"
"1_Cer(d17:1/26:0)+H","712",524023.061,"Cer","[M+H]+"
"1_Cer(d17:1/26:0)+H","16549",275455.331,"Cer","[M+H]+"
"1_Cer(d17:2/23:0)+H","1092",183121.101,"Cer","[M+H]+"
"1_Cer(d17:2/24:0)+H","1142",215635.8452,"Cer","[M+H]+"
"1_Cer(d18:0/23:0)+H","1490",456028.65,"Cer","[M+H]+"
"1_Cer(d18:0/24:0)+H","784",1245540.26,"Cer","[M+H]+"
"1_Cer(d18:0/24:1)+H","148",3444674.28,"Cer","[M+H]+"
"1_Cer(d18:0/24:1)+H","1404",288741.3705,"Cer","[M+H]+"
"1_Cer(d18:1/20:0)+H","1448",232892.58,"Cer","[M+H]+"
"1_Cer(d18:1/22:0)+H","365",2686568.0637,"Cer","[M+H]+"
"1_Cer(d18:1/22:1)+H","1092",211157.271,"Cer","[M+H]+"
"1_Cer(d18:1/23:0)+H","438",1615600.379,"Cer","[M+H]+"
"1_Cer(d18:1/24:0)+H","148",15271477.42,"Cer","[M+H]+"
"1_Cer(d18:1/24:0)+H","1404",770821.2205,"Cer","[M+H]+"
"1_Cer(d18:1/24:1)+H","494",1488547.76,"Cer","[M+H]+"
"1_Cer(d18:1/24:1)+H","4758",1488547.76,"Cer","[M+H]+"
"1_Cer(d18:1/24:1)+H","9098",977177.247,"Cer","[M+H]+"
"1_Cer(d18:1/25:0)+H","712",987592.773,"Cer","[M+H]+"
"1_Cer(d18:1/25:0)+H","16549",739025.043,"Cer","[M+H]+"
"1_Cer(d18:2/22:0)+H","1092",583011.74,"Cer","[M+H]+"
"1_Cer(d18:2/23:0)+H","1142",694452.72,"Cer","[M+H]+"
"1_Cer(d18:2/24:0)+H","494",532613.9,"Cer","[M+H]+"
"1_Cer(d18:2/24:0)+H","4758",430040.0794,"Cer","[M+H]+"
"1_Cer(d18:2/24:0)+H","9098",1438143.167,"Cer","[M+H]+"
"1_Cer(d18:2/24:1)+H","1340",465572.37,"Cer","[M+H]+"
"1_Cer(d19:0/24:1)+H","712",518176.074,"Cer","[M+H]+"
"1_Cer(d19:0/24:1)+H","16549",269608.344,"Cer","[M+H]+"
"1_Cer(d20:1/22:0)+H","148",3472304.704,"Cer","[M+H]+"
"1_Cer(d20:1/23:0)+H","712",551027.843,"Cer","[M+H]+"
"1_Cer(d20:1/23:0)+H","16549",302460.113,"Cer","[M+H]+"
"1_Cer(d20:2/22:0)+H","9098",483209.876,"Cer","[M+H]+"
"1_Cer_NDS(d18:0/23:0)+H","1490",475960.56,"Cer_NDS","[M+H]+"
